t,P0_median,P0_q90,P0_topk,P0_tracked,P1_median,P1_q90,P1_topk,P1_tracked,P2_median,P2_q90,P2_topk,P2_tracked,P3_median,P3_q90,P3_topk,P3_tracked,M1,tracked,B0,mean_fusion,max_fusion,fisher_fusion,concordance,Full,minus_M1,minus_B0history,minus_concordance
9.5,6.78497157713816,18.876765525487638,59.77579741314623,11,2.9275697927252233,27.251100827973463,43.95224656000431,11,6.4118088077016875,16.60065624848533,54.76015039425599,11,2.700016650165343,26.276327505912835,43.493106669292224,11,0.396060034688414,11,6.78497157713816,2.8617925509761903,5.0369526024136295,11.447170203904761,3.45853535545349,12.68964115193356,4.314507860918998,4.2628439437454375,3.293682753997306
10.0,5.979507389276496,17.314373330792215,31.789360023892126,11,5.0022157737799375,10.93787439492262,35.19343643609036,11,5.460310896259436,16.275274161036005,31.004969729475828,11,4.993903936197218,10.598450048617178,33.71218128624875,11,6.126883754597512,11,5.979507389276496,5.033695261903034,5.0369526024136295,20.134781047612137,25.338077379437856,16.261759115359695,12.103829568303857,10.726194854892825,5.700098360023742
10.5,5.5659658415989295,16.44758602337804,25.31874899074589,11,2.433320970443158,11.894660947634089,23.13275257027379,11,5.337828542099109,15.099840844952993,22.28107465173748,11,2.275250683405455,11.593049815458528,22.3644474709625,11,-0.5176331124775106,11,5.5659658415989295,2.7361353368357375,5.0369526024136295,10.94454134734295,2.1926764918998876,9.348543070243611,3.3446310056347577,3.1447094407801037,2.4411944708422912
11.0,6.865592519584387,14.971441390431556,24.491345873455657,11,2.0861722789236254,11.405591756163581,12.039793287819466,11,5.430325438265192,14.630644897900343,22.979118027499585,11,2.2174279861104016,11.277479269635448,11.870889340898435,11,-0.008651089309397869,11,6.865592519584387,2.778265508644607,5.0369526024136295,11.11306203457843,2.6170918489655284,13.562325199700547,3.900037451553439,3.726089679376428,3.024789805461797
11.5,5.086675921025356,14.139684487719057,20.925072912595436,11,2.200459535726929,13.985658227464322,12.952468902604025,11,3.567182380523055,12.298528257296633,19.021223441215394,11,2.055071825631931,13.201233556936431,12.727879586934002,11,0.9691651798444672,11,5.086675921025356,2.9166420096044026,5.0369526024136295,11.666568038417612,4.011083602210196,8.123920869923696,3.7176104496224944,3.4085267709007687,2.7036376421672514
12.0,4.034881937807065,21.6261931013211,23.708447475546013,11,2.7499195333698383,10.544896662373178,11.511459166326413,11,3.5387894961981763,18.170456718054435,20.562674258759408,11,2.628261150127284,10.092443558866135,11.481560954563044,11,-2.014976633338798,11,4.034881937807065,2.6195383932518816,5.0369526024136295,10.478153573007528,1.0180899350635337,4.182635579204613,2.560411007665961,1.6441961839324943,1.5493888181985171
12.5,3.4905875309009886,18.635469363087562,18.081213107213603,11,4.047386360915952,9.391340459101238,12.057985042829808,11,3.6790360490655654,17.19331966936076,16.072046825252613,11,4.1381665756343065,9.51212209170351,11.435033392163751,11,3.765914795283256,11,3.4905875309009886,4.060740187375376,5.0369526024136295,16.242960749501506,15.536620190090588,9.917674147323856,7.7217914322086285,6.6180396413351,3.7982229672728507
13.0,3.641685910261068,23.272706450346295,25.652484167205554,11,2.7490554927826314,18.265345360795216,17.014508421698363,11,4.189370298006261,18.877912244315716,21.813049021389208,11,3.002483008606078,17.44872230135334,16.02924567701061,11,-0.8590564393689542,11,3.641685910261068,2.706715086824271,5.0369526024136295,10.826860347297083,1.896299682182053,2.6143662439557973,2.8468228670163995,2.217074862770107,1.9283708264993973
13.5,3.1573576358283315,31.26239708838915,31.15192767779136,11,2.8819497369778526,15.736799779207463,14.927080728916467,11,3.3926832383554126,26.460187318464733,26.764049542597927,11,2.963406988694769,14.901231593232193,14.237411068876654,11,2.2465881705311594,11,3.1573576358283315,2.2424633698192777,2.6325426485940655,8.969853479277111,4.876480121251771,2.7352775422294435,3.665748248591624,3.418277291491669,2.7891175983514205
14.0,2.7420500000365773,26.354573378756864,27.75517366239716,11,2.77021652184652,11.760742266353267,12.226945978067276,11,2.6629284211461086,22.820837907742145,23.94311469254156,11,2.799113946125443,11.566148261164024,11.828201700334404,11,-2.334553895717886,11,2.7420500000365773,0.36949704803789035,0.5760906251389277,1.4779881921515616,0.09384716240931283,1.0753049162460049,1.8783370361904446,0.7910679219685282,1.0688700168147114
14.5,3.0627322584392505,35.722610067630434,31.136327282945434,11,3.200869401431901,17.76047185432353,18.398192700379898,11,3.10247647772923,31.408821832549222,27.0208880622023,11,3.140293329234819,17.501116313186046,18.022301727815996,11,4.4159956916793295,11,3.0627322584392505,2.748263825658517,3.644143560272544,10.993055302634067,6.7503535565310875,3.9284442042932035,4.317793048068386,4.332889496094724,3.5396737597844665
15.0,2.882332482346347,42.2808596600317,41.57294904331365,11,2.590975480041738,30.755116970347416,30.695855539695682,11,2.948539992428234,37.60406262881338,37.38459785660681,11,2.6884617239890973,29.704814286975942,30.28937965126792,11,-0.6193559772228364,11,2.882332482346347,0.729211403708905,1.0231047361599643,2.91684561483562,0.4453759804399227,0.6218045335485312,2.0053900622584555,1.414223119497917,1.6504794097042026
15.5,2.9455062786773656,43.30298347309235,42.29925421958216,10,2.9584446922859575,20.91511573273923,21.766477390249232,10,2.883925518222642,37.71996213524233,38.04181208877387,10,2.961769418209772,20.491857897007282,21.434923230960184,10,1.3902112526490782,10,2.9455062786773656,1.2055916095366783,1.292768303109067,4.822366438146713,1.4458513530830244,0.8086963611184963,2.451042349990054,2.1663736006580274,2.4324956498454053
16.0,2.970629743451914,37.525548658528486,38.557898453276636,10,3.4856681275136587,42.94363254659705,42.039800367342764,10,2.948087900544617,32.241306071531554,32.60631852841871,10,3.452796488198789,40.760514667672545,39.91109583580254,10,0.5841348709021406,10,2.970629743451914,1.0529007847610874,1.3928517616660496,4.21160313904435,0.9930333958518752,2.174639574821975,2.472153209167526,1.8739714776876366,2.3358537008509477
16.5,2.7905792508767178,71.2836228773882,71.66851318279878,10,2.8591997653161085,31.10098342655478,27.35615688204574,10,2.683700688976505,58.73309498103651,58.936139095338284,10,2.8859045674001456,29.85395293059736,26.187439655476464,10,-1.3159964157336685,10,2.7905792508767178,0.4732479309772997,0.6609900689254141,1.8929917239091991,0.18871649381296626,0.7762381301313324,1.9550667706966098,1.08675000448313,1.4534958008477314
17.0,3.529807418350551,47.257903737473804,47.15388207017646,10,3.711950516427919,18.680915664593417,16.532818796632373,10,3.4293397509878947,38.53291628410307,38.57239062200579,10,3.8030396998712406,18.258347669982122,16.138337490419506,10,-0.6596255987424318,10,3.529807418350551,2.7361353368357375,5.0369526024136295,10.94454134734295,2.1926764918998876,3.612336659012716,3.1751745367072264,2.1230495156239755,2.2244071731597868
17.5,2.786195182898121,33.277678095663155,30.894839117639762,10,2.866456880178686,9.031411400919662,8.197991512360716,10,2.91299358227167,27.637406139182367,25.624325506217616,10,2.9768818813423437,8.86563058628769,7.961953072330149,10,-0.438985234414524,10,2.786195182898121,0.5469408647202089,0.648411286718554,2.187763458880835,0.2888480629603675,0.7763715612185852,2.0173083757336108,1.3872628984289086,1.7746972766086468
18.0,3.454168053113925,23.87527780632856,21.19295525510434,10,3.497007488331368,5.186467414969706,5.86162851753063,10,3.412822887991532,19.87398523668241,17.60227458451453,10,3.5021420304762607,5.009364631104713,5.7332273067791455,10,0.13649922378951063,10,3.454168053113925,2.8150295219707804,5.030437921392439,11.260118087883122,3.016356833339005,2.8504839127958026,3.3242223056430635,2.5049617495584933,2.3642697691265653
18.5,3.4672238791102563,16.207458850333467,13.799085112206589,10,2.7186413019263407,5.7325259055968045,6.507913283697074,10,3.4826385741838504,12.89530066604464,10.929886112753756,10,2.8284316271688574,5.913002808336668,6.503395718386106,10,1.9177939865158193,10,3.4672238791102563,3.282184140659197,5.030437921392439,13.128736562636789,7.716341451346678,4.683649522109621,4.67066565254193,4.145999472789151,2.737816497598311
19.0,3.3227351878916593,10.295151987092824,9.54433546658227,10,2.737421388406484,4.203411181638722,4.656777379492804,10,3.078833910172836,8.111511042913238,7.498920830647488,10,2.706496672933656,4.053257021782986,4.370801225064855,10,2.080667056842588,10,3.3227351878916593,2.8150295219707777,3.9318256327243235,11.26011808788311,6.677157656572778,4.067684682943727,4.235463172466031,3.789848452869965,2.703299639222634
19.5,2.9633397337223295,7.4772635030122245,7.610416186958385,10,2.58261341810043,3.5488404178915616,3.49829971800375,10,3.2513312391388487,5.246893310897511,5.396978108878847,10,2.3381129607841094,3.6087092798868765,3.5119762350435635,10,0.5605368333789816,10,2.9633397337223295,1.027254137567312,1.3415584672784993,4.109016550269248,0.9564638514739635,1.7195534445890985,2.085972181993468,1.932917914428531,1.9539965092951401
20.0,3.1049242259633445,6.514487738177509,6.399990767060369,10,2.1261306687350245,3.11304422883247,3.2129033436767958,10,3.2216385980763595,4.7043659015530075,4.641691113234088,10,2.024179286849382,3.228365743258396,3.2447565344950178,10,2.6760623311699536,10,3.1049242259633445,2.171924070689325,2.2578491991526546,8.6876962827573,4.709871041138247,4.080439191032487,3.2796581846503243,3.4281240490869758,2.6017219479942266
20.5,3.348519891572131,5.901897292667929,5.829788439420014,9,2.7925218396890554,3.7597783780740968,3.8265605371277416,9,3.5377839500439765,5.564016777477079,5.503726740435894,9,2.8365149948652357,3.994178066415713,3.847370825570703,9,-4.418126540279879,9,3.348519891572131,1.9724918586509173,3.9318256327243235,7.889967434603669,0.0517352942194127,2.5084225240772264,2.0789233935522593,0.6299781488889103,0.5889694487191627
21.0,3.597445136480921,4.694648796815709,4.943828157467128,9,2.851867747824317,3.9484362834339026,3.9175660349867747,9,3.4147427038399996,4.598824593767086,4.663202985581534,9,3.107157933511766,3.8287275133844325,3.7964395669253377,9,1.450307166172347,9,3.597445136480921,3.087785112847719,5.0369526024136295,12.351140451390878,5.73516300074333,3.562196946988265,4.146588690245339,3.5494145018091494,2.718303412055011
21.5,3.110940511871697,4.010785591002167,4.152549807216665,9,2.236107507415065,3.676001579363321,3.480937114148047,9,3.008892207225428,3.9760676018183503,3.9515460661776642,9,2.3669330553872086,3.5715388230419594,3.5114454915171294,9,-0.7317816907077631,9,3.110940511871697,1.3590483267265128,2.3223877202902257,5.43619330690605,0.9189895671864314,1.96856108891218,2.1322877114817786,1.576760148893948,1.5820306255170475
22.0,2.640235302168017,3.6551252926509887,3.5035895007447535,9,2.4143738385388254,3.235968702885182,3.306757223358474,9,2.5014568469732685,3.394922638572401,3.430433502628818,9,2.6103695890864405,3.1248817023646245,3.1842236652358533,9,-2.205691917015033,9,2.640235302168017,0.2968625310119972,0.41531740455117605,1.1874501240479887,0.0740958052536661,1.2076006971236566,1.7749002321693748,0.7525240093449796,1.0149709914131415
